"","clone","replicate","lineage.id","tracking.id","n_frames","start_frame","total_path_length","final_displacement","volume","radius","sphericity","length.to.width.ratio","dry.mass","mean.speed"
"71","cloneA","1","171","171",10,20,77.7288055419922,44.5299263000488,2461.85107421875,22.7179752349854,0.261744411289692,1.21696602952996,615.46220703125,0.00422467815224081
"72","cloneA","1","174","174",5,20,35.3856201171875,10.7018184661865,736.383203125,14.4374603271484,0.294038367271423,1.99438392890149,184.09563293457,0.00367528188508004
"73","cloneA","1","175","175",25,20,259.192840576172,199.809112548828,1586.2565625,18.2998095321655,0.306479231119156,2.41904183467999,396.563775634766,0.00745272698501746
"74","cloneA","1","176","176",26,20,267.950714111328,231.499099731445,1277.96790959285,18.4738263350267,0.260908194459402,3.16448464094059,319.491679264949,0.00720148681662977
"75","cloneA","1","183","183",26,23,200.12370300293,13.9331159591675,1857.39930607722,20.3322836435758,0.277223925177868,3.13649243617915,464.349399273212,0.00527069281088188
"76","cloneA","1","190","190",4,24,7.56817722320557,4.48045635223389,1309.50268554688,16.1875998973847,0.246467895805836,1.22308918390934,327.375366210938,0.00064860993006732
"77","cloneA","1","193","193",6,25,86.7257308959961,85.0247497558594,1239.44521077474,18.6002766291301,0.250430015226205,2.00762710566022,309.861017862956,0.00910352002829313
"78","cloneA","1","194","194",15,25,177.064605712891,31.7440624237061,2068.26320800781,22.2893914540609,0.245283235112826,2.77862781410764,517.065319824219,0.00841965730900742
"79","cloneA","1","198","198",6,26,92.8723068237305,28.7155227661133,3575.87524414063,25.3618278503418,0.266630068421364,1.61969010712496,893.967987060547,0.00641791387461125
"80","cloneA","1","201","201",3,26,21.6040515899658,21.6009082794189,796.816080729167,15.0859009424845,0.28403760989507,1.2667256861959,199.203837076823,0.00782755436375738
"81","cloneA","1","202","202",1,30,33.7635612487793,33.7635612487793,2683.8720703125,27.1353912353516,0.197064578533173,1.94594221089492,670.967407226563,0.00611658720299602
"82","cloneA","1","205","205",3,27,14.2648057937622,14.2511978149414,1358.42956542969,17.591002146403,0.295903484026591,1.82498232122563,339.607065836589,0.00298982096137479
"83","cloneA","1","211","211",10,28,130.039215087891,125.88306427002,1691.99033203125,20.982381439209,0.243121254444122,2.37621732984107,422.997183227539,0.00855506260672377
"84","cloneA","1","213","213",23,28,245.476425170898,118.203231811523,1906.59247091542,19.4541514023491,0.303583150324614,2.67353630604198,476.647677214249,0.00808525743724947
"85","cloneA","1","215","215",3,29,7.39098882675171,5.90105533599854,1133.52630615234,18.0414695739746,0.25020115574201,2.5261183528608,283.381327311198,0.00267789454665035
"86","cloneA","1","218","218",17,30,197.66877746582,179.346130371094,932.195064769072,14.9885495690738,0.320902787587222,1.5791619517287,233.048553466797,0.00895195380144287
"87","cloneA","1","220","220",53,30,377.636932373047,151.085403442383,2404.55946436468,22.0391751775202,0.279270722056335,1.76804584086714,601.139304682894,0.00138099583182338
"88","cloneA","1","226","226",4,32,63.3864517211914,63.227222442627,858.907150268555,15.2602226734161,0.293774876743555,1.83798415062439,214.726589202881,0.0122452446569999
"89","cloneA","1","227","227",10,32,78.1746292114258,75.0060729980469,1302.57882080078,17.8559568405151,0.285612159967423,2.02073037777405,325.644396972656,0.00629357509832415
"90","cloneA","1","229","229",2,33,15.3189640045166,15.3189640045166,2494.25134277344,25.7732496261597,0.209235981106758,2.10868196225846,623.562286376953,0.0111006982624531
"91","cloneA","1","232","232",2,33,7.10163688659668,7.10163688659668,909.753265380859,13.9482622146606,0.345927104353905,1.91839770667556,227.438102722168,0.00514611368998885
"92","cloneA","1","234","234",20,34,249.743698120117,91.484001159668,2744.74586181641,21.4619808197021,0.304859514534473,1.99641775730336,686.185835266113,0.00476719933182099
"93","cloneA","1","237","237",36,35,265.789703369141,59.6336669921875,1496.34528266059,20.2642746501499,0.239011870904101,2.44050000982037,374.085973951552,0.00550241822077494
"94","cloneA","1","241","241",59,35,402.588226318359,86.5642242431641,1754.72447282177,20.8692516068281,0.251776875075647,4.6392916697741,438.680707511255,0.00494932711620189
"95","cloneA","1","244","244",8,36,50.4347763061523,44.9288635253906,3165.60934448243,29.8272478580475,0.18142943456769,2.68416672645929,791.40161895752,0.00384416204178706
"96","cloneA","1","245","245",17,36,103.453231811523,78.7135238647461,1514.76036879596,20.0508628172033,0.246647105497472,3.62469204906052,378.689742144417,0.00459008726102184
"97","cloneA","1","246","246",16,36,114.155075073242,73.2125473022461,1450.55292510987,18.6897675991058,0.274378919042647,3.65852862726332,362.637899398804,0.00542580029771974
"98","cloneA","1","255","255",42,38,314.1904296875,174.071075439453,2325.88329787482,22.6258109410604,0.256040424818084,3.01324960960322,581.470288957868,0.00512622576916772
"99","cloneA","1","257","257",2,38,0.366709023714066,0.366709023714066,1431.50250244141,16.6525526046753,0.33764910697937,1.30140812285738,357.875305175781,0.000265731185209
"100","cloneA","1","259","259",2,39,4.05712795257568,4.05712795257568,432.542648315429,7.85009503364563,0.565508186817169,1.39708478345087,108.135570526123,0.00293994788080454
"101","cloneA","1","262","262",3,39,19.3012046813965,19.2944927215576,1758.57548014323,23.0593115488688,0.205928842226664,1.45959111121879,439.643463134766,0.00699318991973996
"102","cloneA","1","264","264",5,39,24.2706737518311,23.2580070495605,1433.22209472656,19.0846771240234,0.262634265422821,1.64962177719156,358.305169677734,0.00439686109893955
"103","cloneA","1","265","265",18,39,127.636154174805,38.5646781921387,1374.53827582465,18.1283722453647,0.285555265016026,2.51111244523503,343.634246826172,0.00531843505108127
"104","cloneA","1","268","268",3,40,3.28921270370483,3.06616520881653,457.349355061849,10.9476308822632,0.359131604433059,1.6349337734061,114.33723449707,0.00119174370774999
"105","cloneA","1","269","269",7,40,62.0218734741211,54.8089370727539,1944.07189941406,23.2002585274833,0.218281888536045,2.55799065047153,486.017530168806,0.0065408080505828
