"clone","replicate","lineage.id","tracking.id","n_frames","start_frame","total_path_length","final_displacement","calculated_displacement","lineage_rootcell","left_censored","displacement_equal","lineage_equal"
"cloneA","3","1006","1006",1,212,25.665584564209,25.665584564209,0,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1007","1007",4,209,49.2269554138184,12.451976776123,12.4519769519003,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1008","1008",6,209,8.61653327941895,2.56357669830322,2.56357663295318,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1012","1012",6,210,15.0929307937622,14.9531011581421,14.9531010021724,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1013","1013",1,211,5.94928550720215,5.94928550720215,0,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1014","1014",1,210,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1015","1015",1,210,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1018","1018",14,211,125.444427490234,104.456832885742,104.45682919573,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1019","1019",2,211,12.221700668335,12.221700668335,12.2217002219201,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1020","1020",1,211,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1021","1021",1,211,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1023","1023",1,212,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1025","1025",3,212,6.28241205215454,6.28107643127441,6.28107629839732,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1026","1026",2,212,12.505389213562,12.3597402572632,12.3597399908492,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1028","1028",12,212,172.414611816406,81.5363311767578,81.5363344489501,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1029","1029",1,212,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1030","1030",1,212,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1031","1031",1,212,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1032","1032",8,212,75.0710830688477,68.6410598754883,68.6410565201289,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1034","1034",10,213,127.227821350098,126.361206054688,126.361202460796,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1035","1035",51,213,273.442749023438,28.429220199585,28.4292203465849,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1036","1036",1,213,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1037","1037",7,213,68.0837783813477,50.1277313232422,50.1277306243169,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1040","1040",1,213,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1042","1042",12,214,47.2915992736816,26.7074642181396,26.7074648172747,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1043","1043",42,214,297.498840332031,34.9484748840332,34.9484739590903,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1044","1044",6,214,42.3986434936523,32.3022918701172,32.3022933294184,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1045","1045",10,217,105.733627319336,53.1240501403809,52.7404997654402,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1046","1046",18,214,77.0833206176758,45.2432060241699,45.2432071532731,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1047","1047",2,214,4.93110275268555,4.93110275268555,4.93110291863669,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1050","1050",3,215,7.7962212562561,7.67499828338623,7.67499833809814,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1051","1051",8,215,61.5222969055176,60.0599975585938,60.0599986761813,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1052","1052",1,215,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1053","1053",8,215,73.6409530639648,66.1267166137695,66.1267189174774,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1054","1054",2,215,9.760573387146,9.760573387146,9.76057330887284,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1055","1055",1,215,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1056","1056",1,215,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1058","1058",2,216,3.55750870704651,3.55750870704651,3.55750874551627,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1059","1059",35,230,524.054260253906,475.968688964844,441.491794190158,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1062","1062",7,217,56.8351898193359,28.8522834777832,28.8522829792005,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1063","1063",23,217,268.772491455078,243.06867980957,243.068679982318,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1064","1064",36,217,343.183471679688,140.929138183594,140.929133255983,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1065","1065",43,217,325.834381103516,202.478820800781,202.478827510425,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1067","1067",28,218,217.344863891602,116.398399353027,116.398396883238,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1068","1068",1,218,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1071","1071",2,219,8.1000337600708,8.1000337600708,8.10003373636096,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1072","1072",2,219,6.60872793197632,6.60872793197632,6.60872812190238,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1073","1073",6,219,36.1631126403809,19.5853939056396,19.5853943363363,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1074","1074",2,219,11.4236011505127,11.4236011505127,11.4236010416192,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1076","1076",44,219,294.212982177734,264.543121337891,264.543131841561,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1077","1077",4,219,50.3761940002441,50.1246147155762,50.1246151175071,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1078","1078",2,219,19.2182464599609,19.2182464599609,19.2182460874884,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1080","1080",2,220,6.99564170837402,6.99564170837402,6.99564149893467,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1081","1081",1,220,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1082","1082",2,220,3.31641554832458,3.31641554832458,3.31641543851134,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1083","1083",18,220,162.855072021484,96.6742630004883,96.6742631238429,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1084","1084",1,220,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1085","1085",1,220,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1087","1087",1,221,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1089","1089",43,221,334.218963623047,238.708724975586,238.708727210363,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1090","1090",24,221,151.879302978516,137.796890258789,137.796895922927,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1093","1093",24,224,189.649200439453,163.956024169922,147.669907898853,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1094","1094",2,222,7.09244632720947,7.09244632720947,7.09244630018397,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1095","1095",1,222,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1096","1096",1,222,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1097","1097",8,222,103.969543457031,65.0992126464844,65.0992123431859,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1098","1098",1,222,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1100","1100",15,223,93.2246246337891,80.0426254272461,80.0426260759009,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1101","1101",1,223,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1103","1103",15,223,107.064376831055,71.3480072021484,71.3480056822068,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1104","1104",1,223,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1107","1107",1,225,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1109","1109",6,225,46.8671073913574,15.3439178466797,15.3439178197838,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1110","1110",1,225,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1111","1111",4,225,13.1436624526978,13.0098848342896,13.0098848520667,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1116","1116",4,226,51.353816986084,50.2430152893066,50.2430149465348,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1118","1118",1,226,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1119","1119",2,226,2.50169348716736,2.50169348716736,2.50169357067223,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1120","1120",9,226,54.9577751159668,40.5473518371582,40.5473505211378,FALSE,TRUE,FALSE,TRUE
