clone,replicate,LID,TID,track.duration,track.length,meandering.index,euclidean.distance,mean.speed,track.present.at.start.or.end,track.never.divides,cell.line,tracking.id,lineage.id,n_frames,start_frame,total_path_length,final_displacement,calculated_displacement,lineage_rootcell,left_censored,displacement_equal,lineage_equal
cloneB,2,3,3,2093,1140.36,0.022381473,25.52293684,0.54484472,FALSE,FALSE,A1,2937,2937,94,139,366.0965576,205.6681671,205.6681745,FALSE,TRUE,FALSE,TRUE
cloneA,1,3,4,2576,1207.565,0.296689203,358.2714976,0.468775233,FALSE,FALSE,A1,525,525,77,74,680.6998901,365.577301,365.5773103,FALSE,TRUE,FALSE,TRUE
cloneB,2,3,4,2576,1207.565,0.296689203,358.2714976,0.468775233,FALSE,FALSE,A1,5515,5515,6,228,23.80255127,17.73641205,17.73641124,FALSE,TRUE,FALSE,TRUE
cloneA,1,3,5,2990,1157.447,0.139974093,162.0125946,0.38710602,FALSE,FALSE,A1,1840,1840,39,226,200.1219635,164.5087891,164.5087904,FALSE,TRUE,FALSE,TRUE
cloneB,2,3,5,2990,1157.447,0.139974093,162.0125946,0.38710602,FALSE,FALSE,A1,3782,3782,6,176,68.30274963,7.580969334,7.580969346,FALSE,TRUE,FALSE,TRUE
cloneA,1,3,6,1012,509.618,0.661162123,336.9401189,0.503575099,FALSE,FALSE,A1,845,845,43,117,437.1079407,338.8217163,338.821708,FALSE,TRUE,FALSE,TRUE
cloneB,2,3,6,1012,509.618,0.661162123,336.9401189,0.503575099,FALSE,FALSE,A1,1386,1386,38,53,210.0059357,103.9912643,103.9912619,FALSE,TRUE,FALSE,TRUE
cloneA,1,3,7,1840,946.558,0.165753396,156.8952034,0.514433696,FALSE,FALSE,A1,1760,1760,39,214,303.2902527,156.5107727,156.5107749,FALSE,TRUE,FALSE,TRUE
cloneB,2,3,7,1840,946.558,0.165753396,156.8952034,0.514433696,FALSE,FALSE,A1,4581,4581,5,200,54.48494339,53.03536987,53.03537161,FALSE,TRUE,FALSE,TRUE
cloneA,1,3,8,621,350.432,0.879206974,308.1022584,0.564302738,TRUE,FALSE,A1,1538,1538,74,191,353.3253479,307.7530518,307.753041,FALSE,TRUE,FALSE,TRUE
cloneA,1,3,9,598,270.977,0.664471106,180.0563868,0.453138796,FALSE,FALSE,A1,218,218,17,30,197.6687775,179.3461304,179.346131,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,1,713,413.709,0.48578187,200.9723318,0.580237027,TRUE,FALSE,A1,1255,1255,30,161,271.0300903,201.6960449,201.6960455,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,1,713,413.709,0.48578187,200.9723318,0.580237027,TRUE,FALSE,A1,1856,1856,14,79,116.7500076,70.68629456,70.68629353,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,2,1311,513.025,0.564192115,289.4446599,0.391323417,FALSE,FALSE,A1,1417,1417,45,176,450.4717712,289.2044983,289.2045024,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,2,1311,513.025,0.564192115,289.4446599,0.391323417,FALSE,FALSE,A1,5931,5931,20,240,143.6103363,132.8361053,132.8361081,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,3,1219,316.408,0.496680108,157.1535597,0.259563577,FALSE,FALSE,A1,1760,1760,39,214,303.2902527,156.5107727,156.5107749,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,3,1219,316.408,0.496680108,157.1535597,0.259563577,FALSE,FALSE,A1,6515,6515,5,255,59.57361221,45.03217697,45.03217772,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,4,1656,871.95,0.658243339,573.9552793,0.526539855,FALSE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,4,1656,871.95,0.658243339,573.9552793,0.526539855,FALSE,FALSE,A1,3516,3516,29,165,157.6437988,124.7152405,124.7152441,FALSE,TRUE,FALSE,TRUE
