clone	replicate	tracking.id	n_frames	start_frame	total_path_length	final_displacement	volume	radius	mean.thickness	sphericity	length.to.width.ratio	dry.mass	mean.speed
A	1	403	2	60	10.51142216	10.51142216	1643.2384645	22.966751095	0.9926479165	0.1966361775	2.2468621779999998	410.80923465	0.45701838
A	1	405	3	79	78.47589111	21.98864937	1265.4237466666666	17.646745046666666	1.296258132	0.2833950416666667	1.1931879836666666	316.35564166666666	0.37569307999999996
A	1	406	6	60	87.88809204	87.84673309	1135.5618693333333	18.032156306666668	1.113111496	0.25207779566666666	2.107575043833333	283.89019774999997	0.764155164
A	1	409	3	61	11.79067993	6.356335163	896.6208088999999	12.52480316	1.8234829106666666	0.38957630600000004	1.085306919	224.15499876666667	0.25623111
A	1	410	8	61	58.96981049	12.00601864	549.58439255	11.53768146	1.31663206225	0.355279713875	1.344867783	137.3959712875	0.3534473657142857
A	1	411	20	61	62.33534241	5.078176022	1680.8937682	24.5046693805	0.89052607705	0.175081481	1.53239681955	420.223048405	0.053828917894736844
A	1	412	15	61	143.4059296	84.44193268	1012.10157466	15.802534548	1.3141460102666667	0.3073038458	2.0245797723333334	253.02516377999999	0.3832925314285714
A	1	413	2	61	13.83072758	13.83072758	1458.2089230000001	20.598686215	1.0937585235	0.2250519695	5.77619242	364.5519104	0.60090054
A	1	419	2	62	9.064432144	9.064432144	1147.086853	15.72129393	1.47900629	0.3306430725	2.4326603694999998	286.77146915000003	0.39410574
A	1	420	2	62	6.506009579	6.506009579	967.1878661999999	16.39750624	1.1483516695	0.2686127425	3.5530892969999996	241.79675295	0.28287
A	1	421	12	62	104.1971817	34.61935425	1277.1524148333333	16.310741025833334	1.5615554850833333	0.33629818758333335	1.8971918414166666	319.287816375	0.4118465618181818
A	1	425	15	62	155.3811188	125.2946167	1517.6858642666666	19.388223330666666	1.2994949818666666	0.2669487148	2.6702122554666667	379.42111002666667	0.43456899428571427
A	1	426	2	63	30.24796867	30.24796867	799.15560915	14.408032890000001	1.2256441715	0.308718383	2.211494859	199.78871155000002	1.31512908
A	1	427	17	63	146.8315887	136.7721863	1267.7856803529412	17.834894292352942	1.284847547235294	0.280780602	1.5795372268235295	316.9461239117647	0.35257563000000003
A	1	430	9	63	101.7544403	100.3182373	1599.0187582222222	19.824671851111113	1.3086179627777779	0.264716261	1.441555861	399.75430635555557	0.512560245
