LID,TID,tracking.id,track.length,total_path_length,euclidean.distance,final_displacement,mean.speed_manual,mean.speed_livecyte,cell.line,clone,replicate
2,1,5326,237.236,234.9574585,33.66708333,36.53736496,0.163723948,0.004592174,B2,cloneB,2
2,2,3602,400.391,431.9007874,78.69577117,79.44223785,0.290138406,0.004411485,B2,cloneB,2
2,3,4537,669.681,610.8850098,49.77058266,42.213871,0.30649016,0.008424334,B2,cloneB,2
2,4,3960,607.918,486.0917664,152.9910932,153.1083527,0.249351107,0.004442038,B2,cloneB,2
2,5,2785,638.444,663.3664551,69.69932638,67.38182831,0.205618035,0.003762894,B2,cloneB,2
2,6,2724,289.27,278.5153198,119.4090897,118.1158066,0.232906602,0.003977624,B2,cloneB,2
2,7,556,315.438,323.6811218,205.2138835,211.6045837,0.291802035,0.005718236,B2,cloneB,2
2,8,3696,238.344,246.2473145,214.8365371,198.2393799,0.345426087,0.004544298,B2,cloneB,2
2,9,33,184.837,184.5772705,73.50864932,73.58398438,0.259238429,0.003663871,B2,cloneB,2
2,10,3032,5.494,5.496679783,5.494408521,5.496679783,0.238869565,0.003985989,B2,cloneB,2
2,11,4128,13.554,13.54548168,13.55405198,13.54548168,0.589304348,0.001088865,B2,cloneB,2
2,12,4712,246.985,242.1464996,175.8915897,171.193924,0.228478261,0.003452307,B2,cloneB,2
2,13,3138,303.637,301.4174805,226.6504912,244.8048096,0.280885291,0.006411156,B2,cloneB,2
2,14,3916,385.837,377.8557739,123.6454095,124.1116638,0.305009486,0.004425508,B2,cloneB,2
2,15,1783,448.364,388.6028137,27.05633798,23.65186882,0.354437945,0.004974031,B2,cloneB,2
3,1,1870,715.054,683.6085205,372.9896026,371.2522583,0.337927221,0.005147084,B2,cloneB,2
3,2,3710,310.422,297.7218018,127.205195,125.8632278,0.155133433,0.004202856,B2,cloneB,2
3,3,3219,534.598,513.0286255,206.3718665,205.0753021,0.232433913,0.005360573,B2,cloneB,2
3,4,5305,316.44,310.6617737,17.71546017,15.48261547,0.167783669,0.00700223,B2,cloneB,2
3,5,633,148.675,151.9775543,7.580184694,7.475228786,0.202004076,0.002709387,B2,cloneB,2
3,6,3033,169.952,169.9732208,104.0818065,104.5349655,0.107090107,0.004907066,B2,cloneB,2
3,7,1760,292.777,280.3467407,53.06505835,53.2070961,0.184484562,0.004318178,B2,cloneB,2
4,1,457,210.781,224.7480164,70.62447514,69.52841187,0.366575652,0.011524116,B2,cloneB,2
4,2,3685,393.661,405.3587646,132.7172963,135.1557159,0.276059607,0.003108669,B2,cloneB,2
4,3,3891,318.255,305.8555298,45.0688857,45.43185806,0.247092391,0.013181796,B2,cloneB,2
4,4,3183,627.598,501.2538452,125.1319675,129.9356079,0.20212496,0.003423665,B2,cloneB,2
