LID	TID	total_path_length	final_displacement	mean.speed	clone	replicate
6	5	625.395	81.93070332	0.286221968	cloneB	2
6	6	474.864	101.5762213	0.264695652	cloneB	2
6	7	473.92	131.6324135	0.303017903	cloneB	2
6	8	695.252	168.172025	0.328568998	cloneB	2
6	9	617.138	172.2955513	0.279500906	cloneB	2
6	10	369.921	92.60129602	0.226528475	cloneB	2
6	11	442.46	186.5453403	0.270949173	cloneB	2
6	12	453.835	149.718713	0.193450554	cloneB	2
6	13	512.367	88.91660635	0.244800287	cloneB	2
6	14	618.527	153.8877737	0.240111413	cloneB	2
6	15	596.615	62.24196794	0.267420439	cloneB	2
6	16	45.539	42.20483655	0.282850932	cloneB	2
6	17	40.948	30.35380255	0.254335404	cloneB	2
6	18	47.353	34.18477622	0.205882609	cloneB	2
6	19	33.403	7.106423151	0.16136715	cloneB	2
6	20	21.197	19.43288772	0.153601449	cloneB	2
6	21	23.684	9.960266061	0.171623188	cloneB	2
7	1	176.381	131.914148	0.239648098	cloneB	2
7	2	523.867	272.6038305	0.274419591	cloneB	2
7	3	467.551	53.68175605	0.294613106	cloneB	2
7	4	790.091	401.0644644	0.236908846	cloneB	2
7	5	883.507	343.7401789	0.26491964	cloneB	2
7	6	1076.962	77.32323245	0.292652717	cloneB	2
7	7	1018.203	397.5935283	0.278425759	cloneB	2
8	1	524.912	102.5937312	0.205605954	cloneB	2
8	2	526.605	38.00619119	0.369288219	cloneB	2
8	3	466.623	271.5519558	0.382791632	cloneB	2
8	4	910.025	57.31316235	0.454785107	cloneB	2
8	5	654.924	200.6168129	0.323579051	cloneB	2
8	6	619.677	153.7690141	0.277757508	cloneB	2
8	7	592.305	158.0053209	0.268254076	cloneB	2
9	1	158.763	40.45830763	0.168359491	cloneB	2
9	2	567.504	248.510697	0.251776398	cloneB	2
9	3	636.144	81.82005916	0.333234154	cloneB	2
9	4	905.361	266.7012405	0.322651818	cloneB	2
9	5	728.045	25.65321422	0.259460086	cloneB	2
9	6	612.593	76.58732219	0.27458225	cloneB	2
9	7	495.064	280.5785831	0.203061526	cloneB	2
9	8	229.277	182.1544767	0.262330664	cloneB	2
9	9	201.771	92.32573505	0.230859268	cloneB	2
9	10	119.761	59.85985537	0.173566667	cloneB	2
9	11	201.843	169.4980826	0.292526087	cloneB	2
