,clone,replicate,tracking.id,total_path_length,final_displacement,mean.speed,,,,,,,,
229,cloneA,1,531,11.84618759,11.84598637,0.004219612,,,,,,,,
230,cloneA,1,532,6.826228619,6.826228619,0.004946542,,,,,,,,
231,cloneA,1,535,413.868927,317.0758667,0.004998177,,,,,,,,
232,cloneA,1,536,107.6930161,99.13582611,0.005272407,,,,,,,,
233,cloneA,1,537,12.07803249,12.02000809,0.004376099,,,,,,,,
234,cloneA,1,538,105.0669937,70.55701447,0.005062528,,,,,,,,
235,cloneA,1,539,112.3564835,37.75905228,0.006492933,,,,,,,,
236,cloneA,1,545,19.47299004,12.63988495,0.003395916,,,,,,,,
237,cloneA,1,547,102.4451675,92.42033386,0.0075685,,,,,,,,
238,cloneA,1,550,123.7651672,35.01414108,0.004169209,,,,,,,,
239,cloneA,1,552,85.89072418,81.95909882,0.012447931,,,,,,,,
240,cloneA,1,559,137.9766083,27.02355194,0.006096847,,,,,,,,
241,cloneA,1,560,563.1832886,215.2829742,0.004246189,,,,,,,,
242,cloneA,1,561,32.22077942,29.98144913,0.004668971,,,,,,,,
243,cloneA,1,563,170.0608521,167.095871,0.006233726,,,,,,,,
244,cloneA,1,564,94.60671997,90.83233643,0.006231937,,,,,,,,
245,cloneA,1,568,58.45117569,57.08253098,0.003178654,,,,,,,,
246,cloneA,1,570,44.61893845,37.81913757,0.00237642,,,,,,,,
247,cloneA,1,577,32.00973511,32.00973511,0.023195459,,,,,,,,
248,cloneA,1,582,33.5615387,28.25984383,0.002547601,,,,,,,,
249,cloneA,1,583,17.10858345,17.10858345,0.004132508,,,,,,,,
250,cloneA,1,584,41.10464478,40.01412964,0.004254774,,,,,,,,
251,cloneA,1,585,23.35784531,23.33947182,0.003297312,,,,,,,,
252,cloneA,1,586,12.63925934,12.27884483,0.003052872,,,,,,,,
253,cloneA,1,587,134.2678528,72.35183716,0.002061604,,,,,,,,
254,cloneA,1,591,50.72069931,26.95042038,0.007790976,,,,,,,,
255,cloneA,1,592,45.5711174,13.82784367,0.002567904,,,,,,,,
256,cloneA,1,593,13.94932747,12.68939018,0.00302133,,,,,,,,
257,cloneA,1,594,6.253050804,6.253050804,0.004527915,,,,,,,,
258,cloneA,1,595,11.9349947,9.171071053,0.004322144,,,,,,,,
259,cloneA,1,596,72.45443726,13.47204208,0.00604192,,,,,,,,
260,cloneA,1,598,348.9465027,242.613327,0.007521491,,,,,,,,
261,cloneA,1,600,106.6110764,93.45004272,0.007025392,,,,,,,,
262,cloneA,1,603,1.612290859,1.612290859,0.001169174,,,,,,,,
263,cloneA,1,604,22.46685219,21.69901657,0.002713713,,,,,,,,
264,cloneA,1,608,68.00630188,2.720228672,0.007375349,,,,,,,,
265,cloneA,1,611,324.5287781,279.1218567,0.008998916,,,,,,,,
266,cloneA,1,615,14.43090725,14.43090725,0.010457179,,,,,,,,
267,cloneA,1,617,113.4499664,20.06056213,0.005259657,,,,,,,,
268,cloneA,1,620,281.8426208,154.6774445,0.00685244,,,,,,,,
269,cloneA,1,622,30.80507851,17.54475784,0.00558063,,,,,,,,
270,cloneA,1,627,357.7150574,118.4254379,0.00537448,,,,,,,,
271,cloneA,1,628,52.23416519,34.74699402,0.001680726,,,,,,,,
272,cloneA,1,629,1.813186765,1.813186765,0.000187798,,,,,,,,
273,cloneA,1,631,523.322937,247.7344513,0.005920432,,,,,,,,
274,cloneA,1,632,7.099205017,7.099205017,0.005144352,,,,,,,,
275,cloneA,1,633,10.26365852,10.26365852,0.007437434,,,,,,,,
276,cloneA,1,638,26.42874718,23.57006454,0.004387643,,,,,,,,
277,cloneA,1,640,54.86320496,20.74939156,0.004972682,,,,,,,,
278,cloneA,1,642,109.6276245,104.1146774,0.007112247,,,,,,,,
279,cloneA,1,643,190.5307312,180.9833679,0.006914366,,,,,,,,
280,cloneA,1,644,245.3018494,222.5031891,0.005379538,,,,,,,,
281,cloneA,1,646,18.69314957,18.59211731,0.003388487,,,,,,,,
282,cloneA,1,649,232.2931976,164.6810455,0.005370441,,,,,,,,
283,cloneA,1,652,5.884778023,5.884778023,0.004264332,,,,,,,,
284,cloneA,1,653,6.530732632,6.530732632,0.002370502,,,,,,,,
285,cloneA,1,659,187.6805725,169.1247406,0.006208281,,,,,,,,
286,cloneA,1,660,69.20346832,62.46624756,0.00557145,,,,,,,,
287,cloneA,1,663,200.2359009,101.5466995,0.003780204,,,,,,,,
288,cloneA,1,664,56.55962372,54.27639389,0.010246309,,,,,,,,
289,cloneA,1,667,40.0209198,39.09656525,0.009666889,,,,,,,,
290,cloneA,1,668,51.79654694,40.17230606,0.007506171,,,,,,,,
291,cloneA,1,672,11.58491135,9.399277687,0.00208939,,,,,,,,
292,cloneA,1,673,5.180421352,5.178349018,0.001876964,,,,,,,,
293,cloneA,1,675,348.1700134,60.57026672,0.003994616,,,,,,,,
294,cloneA,1,676,207.078186,186.7942505,0.004922277,,,,,,,,
295,cloneA,1,678,363.4847107,221.9875793,0.002860172,,,,,,,,
296,cloneA,1,679,22.97187614,22.9718399,0.008323144,,,,,,,,
297,cloneA,1,681,218.0400238,211.6035461,0.007506094,,,,,,,,
298,cloneA,1,683,244.0050659,27.84932137,0.00652538,,,,,,,,
299,cloneA,1,685,224.2129822,31.91758347,0.00571556,,,,,,,,
300,cloneA,1,686,85.17472076,26.63902855,0.009693627,,,,,,,,
301,cloneA,1,689,62.76906204,58.81557846,0.00497283,,,,,,,,
302,cloneA,1,691,22.57775688,17.21839523,0.004265911,,,,,,,,
303,cloneA,1,694,181.8860321,107.5923386,0.007065582,,,,,,,,
304,cloneA,1,695,0.882176161,0.882176161,0.000638795,,,,,,,,
305,cloneA,1,696,9.245755196,9.245755196,0.006694971,,,,,,,,
306,cloneA,1,697,98.09551239,79.80913544,0.00445998,,,,,,,,
307,cloneA,1,698,158.9095612,35.80887222,0.006570897,,,,,,,,
308,cloneA,1,700,285.8292847,104.3824692,0.006399305,,,,,,,,
309,cloneA,1,702,177.6467438,109.0899734,0.008023838,,,,,,,,
310,cloneA,1,704,6.103885174,6.103885174,0.004423105,,,,,,,,
311,cloneA,1,706,62.89643097,47.93556976,0.003038308,,,,,,,,
312,cloneA,1,707,67.37301636,66.46606445,0.004438275,,,,,,,,
313,cloneA,1,710,37.61256027,37.61256027,0.005451096,,,,,,,,
314,cloneA,1,712,149.7810669,147.6784821,0.0086858,,,,,,,,
315,cloneA,1,713,13.87296963,13.87296963,0.010052877,,,,,,,,
316,cloneA,1,717,6.783872128,5.578665257,0.002457925,,,,,,,,
317,cloneA,1,718,2.828625679,2.828625679,0.000512432,,,,,,,,
318,cloneA,1,721,18.12226295,3.150602579,0.004377358,,,,,,,,
319,cloneA,1,722,199.9879303,36.64706421,0.008169461,,,,,,,,
